feature_set,algorithm,rmse,folds
feature-expansion-with-stats,AutoSKLearn_AutoSklearnRegressor,0.9218161999864556,[0.9208661145967934 0.9213903841143849 0.9276226458248739 0.9189943991988703 0.9202074561973554]
basic-no-stats,AutoSKLearn_AutoSklearnRegressor,0.9325170254984352,[0.930803459416222 0.9327001114152631 0.9373046409174808 0.9338780353713506 0.9278988803718592]
stripped-no-stats,AutoSKLearn_AutoSklearnRegressor,0.9840686114700748,[0.9830820774016149 0.9759812752915762 0.984477739084062 0.998341035889577 0.9784609296835444]
feature-expansion-no-stats,AutoSKLearn_AutoSklearnRegressor,0.9306042113619009,[0.9240440837089607 0.9326558352116207 0.9384971047414717 0.9277549296693939 0.9300691034780577]

stripped-with-stats,H2O_AutoML,0.9367359444184619,[0.9332497825010537 0.9383707245050393 0.9425357718436634 0.9331821802953837 0.9363412629471685]
basic-with-stats,H2O_AutoML,0.9181952827884643,[0.9143018447893279 0.9201446274337013 0.9240711485468958 0.9145873576583277 0.9178714355140695]
feature-expansion-with-stats,H2O_AutoML,0.9146223578516841,[0.913711411250914 0.9144956482996784 0.919290615886933 0.9101467890880285 0.9154673247328663]
basic-no-stats,H2O_AutoML,0.9167802953548849,[0.9109723007120472 0.918480146250108 0.9233108651018958 0.9172282949807952 0.9139098697295787]
stripped-no-stats,H2O_AutoML,0.9399390653508656,[0.9374672521933806 0.9409190244405324 0.9435149979362468 0.9370823117282377 0.94071174045593]
feature-expansion-no-stats,H2O_AutoML,0.916287763152057,[0.9097412961421909 0.9153511679717671 0.923565337765462 0.9168883313067636 0.9158926825741012]

stripped-with-stats,FLAML_Regressor,0.9381452589668466,[0.9355917790348597 0.937982377432943 0.9452621618440131 0.9340434566333966 0.9378465198890205]
basic-with-stats,FLAML_Regressor,0.9151264679526081,[0.9075240002319278 0.9204063767733711 0.9239551771388852 0.913138922693304 0.9106078629255523]
feature-expansion-with-stats,FLAML_Regressor,0.9129123034376757,[0.9098863554424561 0.9139289157822807 0.9174560100468051 0.9101310444357588 0.913159191481078]
basic-no-stats,FLAML_Regressor,0.909968046464682,[0.904978059482961 0.9107479864669825 0.9160091592866733 0.9103460548598096 0.9077589722269841]
